,Titre,sstitre,Auteur,Editeur,Date,prets,Nombre de prêts par exemplaire,exemplaires,localisations,Langue,cat,tauxemprunt
209904,Shoe addicts , ,Beth Harbison,Fleuve noir,2008,2.0,2.0,1.0,1.0,français,LNAM Litterature nord-americaine,8.0
205461,Anagrammes à la folie , ,Sylvain Tesson,Pocket,2015,3.0,3.0,1.0,1.0,français,LFRA Litterature francaise,12.0
227879,Choses tendres , ,Marie de Beaumont,Théâtre ouvert,2004,2.0,2.0,1.0,1.0,français,LFRA Litterature francaise,8.0
146117,Maria , ,Pierre Pelot,H. d'Ormesson,2010,5.0,0.8333333333333334,6.0,6.0,français,LFRA Litterature francaise,3.0
256255,Souveraine de la nuit , ,Teixeira de Pascoaes,l'Escampette,2001,1.0,0.25,4.0,4.0,français,Littérature étrangère,1.0
446005,Les fils de la sorcière , ,Mary Gentle,Rivages,1996,0.0,0.0,1.0,1.0,français,LBRI Litterature britannique,0.0
416891,Trois souris aveugles , ,Ed McBain,Ramsay,1995,0.0,0.0,1.0,1.0,français,LNAM Litterature nord-americaine,0.0
58750,Pars avec lui , ,Agnès Ledig,Pocket,2016,20.0,2.857142857142857,7.0,6.0,français,LFRA Litterature francaise,12.0
88256,Solaris , ,Stanislaw Lem,Gallimard,2017,11.0,2.75,4.0,4.0,français,LNAM Litterature nord-americaine,11.0
424458,Les grandes terres , ,Geneviève Metge,Éd. Paroles d'aube,1998,0.0,0.0,1.0,1.0,français,LFRA Litterature francaise,0.0
408527,La leçon d'équitation , ,Sara Gruen,A. Michel,2005,0.0,0.0,1.0,1.0,français,LNAM Litterature nord-americaine,0.0
287389,Surgie de nulle part , ,Giles Blunt,Éd. du Masque,2007,1.0,0.5,2.0,2.0,français,LNAM Litterature nord-americaine,2.0
208435,Lettres portugaises , ,Gabriel Joseph de Lavergne Guilleragues,Gallimard,1990,3.0,1.5,2.0,2.0,français,LFRA Litterature francaise,6.0
391733,Kafka Cola , ,Alessandro Mercuri,L. Scheer,2008,0.0,0.0,1.0,1.0,français,LFRA Litterature francaise,0.0
66571,La lune dans le caniveau , ,David Goodis,10-18,2006,17.0,3.4,5.0,5.0,français,LNAM Litterature nord-americaine,14.0
264830,Passage des miracles , ,Naǧīb Maḥfūẓ,Sindbad,1988,1.0,1.0,1.0,1.0,français,LMMO Litterature du Maghreb et du Moyen-Orient,4.0
442403,Le grand canular , ,Jacques Franju,Seghers,1963,0.0,0.0,1.0,1.0,français,Littérature française (autres),0.0
208726,It , ,Stephen King,New English Library,1988,3.0,3.0,1.0,1.0,anglais,LNAM Litterature nord-americaine,12.0
383268,Ombriennes , ,Tomaso Solari,Mon village,2009,0.0,0.0,1.0,1.0,français,LFRA Litterature francaise,0.0
172730,La fille de l'alchimiste , ,Kai Meyer,Éd. du Rocher,2005,4.0,0.5,8.0,8.0,français,LGER Litterature germanique,2.0
50952,Sans forme ,Le protectorat de l'ombrelle,Gail Carriger,Orbit,2011,24.0,2.0,12.0,12.0,français,LNAM Litterature nord-americaine,8.0
144339,Pitié pour les femmes ,Les jeunes filles,Henry de Montherlant,Gallimard,1992,5.0,2.5,2.0,2.0,français,LFRA Litterature francaise,10.0
95394,Les feux de Bois-Colombes , ,Josette Boudou,Éd. de Noyelles,2010,10.0,5.0,2.0,2.0,français,LFRA Litterature francaise,21.0
144780,Ici-bas , ,Bruno-Nassim Aboudrar,Gallimard,2009,5.0,1.25,4.0,4.0,français,LFRA Litterature francaise,5.0
412008,France audioguide , ,Philippe Adam,Inventaire-invention,2007,0.0,0.0,1.0,1.0,français,Littérature française (autres),0.0
390089,Orlando , ,Virginia Woolf,Oxford University Press,2008,0.0,0.0,1.0,1.0,anglais,LBRI Litterature britannique,0.0
430583,Albany ,"Des pommes et des oranges, Californie.",Christophe Lamiot,Flammarion,2006,0.0,0.0,1.0,1.0,français,LFRA Litterature francaise,0.0
44806,Le poison de la vengeance ,L'assassin royal.,Robin Hobb,Pygmalion,2000,28.0,3.111111111111111,9.0,9.0,français,LBRI Litterature britannique,13.0
23125,Specials ,Uglies,Scott Westerfeld,Pocket jeunesse,2007,55.0,1.4473684210526316,38.0,33.0,français,LNAM Litterature nord-americaine,6.0
76111,Les amants papillons , ,Alison Wong,L. Levi,2009,14.0,1.4,10.0,10.0,français,LAUS Litterature australienne et du Pacifique,6.0
227869,La vie sexuelle de Lorenzaccio , ,Catherine Dufour,Éd. Mille et une nuits,2014,2.0,2.0,1.0,1.0,français,LFRA Litterature francaise,8.0
441673,La Nuit tombante , ,Jacques-Pierre Amette,Éditions du Seuil,1978,0.0,0.0,1.0,1.0,français,LFRA Litterature francaise,0.0
95071,Techno faerie , ,Sara Doke,les Moutons électriques,2016,10.0,1.25,8.0,8.0,français,LFRA Litterature francaise,5.0
443165,Le problème de Turing , ,Harry Harrison,R. Laffont,1994,0.0,0.0,2.0,2.0,français,LNAM Litterature nord-americaine,0.0
63664,Promenons-nous dans les bois , ,Ruth Rendell,Calmann-Lévy,2005,18.0,2.5714285714285716,7.0,7.0,français,LBRI Litterature britannique,11.0
342435,Les bisons du Coeur-Brisé , ,Dan O'Brien,À vue d'oeil,2008,0.0,0.0,1.0,1.0,français,LNAM Litterature nord-americaine,0.0
415680,Le manuscrit du 103e pèlerin , ,Pascale Deschamps,Ramsay,2003,0.0,0.0,2.0,2.0,français,LFRA Litterature francaise,0.0
343100,Scandale de la verite , ,Georges Bernanos,Gallimard,1972,0.0,0.0,1.0,1.0,français,LFRA Litterature francaise,0.0
211911,Mégalodon , ,Steven Alten,Éd. du Rocher,1997,2.0,2.0,1.0,1.0,français,LNAM Litterature nord-americaine,8.0
245604,L'orage et la loutre , ,Lucien Ganiayre,Éditions de l'Ogre,2015,2.0,2.0,1.0,1.0,français,LFRA Litterature francaise,8.0
436174,"C'est la vie, Lili ", ,Valérie Dayre,Rageot éd.,1991,0.0,0.0,1.0,1.0,français,LFRA Litterature francaise,0.0
151379,Des clopes et de la binouze , ,Charlie Williams,Gallimard,2008,5.0,2.5,2.0,2.0,français,LBRI Litterature britannique,10.0
394713,De la terre à la lune ; Autour de la lune , ,Jules Verne,Lidis,1966,0.0,0.0,1.0,1.0,français,LFRA Litterature francaise,0.0
114145,Le moine , ,Matthew Gregory Lewis,Actes Sud,1996,8.0,1.6,5.0,5.0,français,LBRI Litterature britannique,7.0
15934,Dinomir le géant nettoie sa maison , ,Ellen Blance,MDI,1997,75.0,4.411764705882353,17.0,15.0,français,LBRI Litterature britannique,18.0
46544,Elling , ,Ingvar Ambjørnsen,Gaïa éd.,2008,27.0,2.25,12.0,12.0,français,LNOR Litterature nordique,9.0
215638,Un héritage , ,Sybille Bedford,le Promeneur,1994,2.0,2.0,1.0,1.0,français,LBRI Litterature britannique,8.0
50262,Prodige , ,Nancy Huston,Actes Sud ;Léméac,1999,24.0,2.1818181818181817,11.0,11.0,français,LFRA Litterature francaise,9.0
194802,Mélie avec tendresse , ,Hélène Berrier,Publibook,2013,3.0,1.5,2.0,2.0,français,LFRA Litterature francaise,6.0
84180,Les talents cachés des jumelles ,Les jumelles,Enid Blyton,Hachette jeunesse,2015,12.0,12.0,1.0,1.0,français,LBRI Litterature britannique,50.0
20264,Villa triste , ,Patrick Modiano,Gallimard,2008,62.0,6.2,10.0,10.0,français,LFRA Litterature francaise,26.0
252981,Le Cinéma de papa , ,Jean-Bernard Pouy,Gallimard,1989,1.0,1.0,1.0,1.0,français,LFRA Litterature francaise,4.0
42868,"Anges de fer, paradis d'acier ", ,Serge Brussolo,Gallimard,2015,29.0,1.2083333333333333,24.0,24.0,français,LFRA Litterature francaise,5.0
124893,Molière , ,Sylvie Dodeller,"L'école des loisirs, DL",2007,7.0,2.3333333333333335,3.0,3.0,français,"D801 Etudes litteraires, revues litteraires",10.0
128981,Pianistes , ,Anthony Burgess,B. Grasset,1989,6.0,1.5,4.0,4.0,français,LBRI Litterature britannique,6.0
227579,La fille du Gobernator , ,Paule Constant,Gallimard,1994,2.0,0.6666666666666666,3.0,3.0,français,LFRA Litterature francaise,3.0
111859,Petit Jacques deviendra Prévert , ,Carole Aurouet,Rue du monde,2011,8.0,0.5333333333333333,15.0,15.0,français,"D801 Etudes litteraires, revues litteraires",2.0
212762,Le don d'Anna , ,Cecilia Samartin,À vue d'oeil,2012,2.0,2.0,1.0,1.0,français,LNAM Litterature nord-americaine,8.0
301017,Un exposé fatal , ,Judy Blume,l'École des loisirs,1992,1.0,1.0,1.0,1.0,français,LNAM Litterature nord-americaine,4.0
339058,Quand le soleil... , ,Zōrz Sarī́,Éd. Esprit ouvert,2004,0.0,0.0,1.0,1.0,français,LBAL Litterature des Balkans,0.0
135460,La poubelle des larmes , ,Élisabeth Brami,T. Magnier,2011,6.0,1.0,6.0,6.0,français,LFRA Litterature francaise,4.0
214990,Mission à Haut-Brion ,Le sang de la vigne,Jean-Pierre Alaux,Fayard,2004,2.0,1.0,2.0,2.0,français,LFRA Litterature francaise,4.0
411099,Beauté fatale , ,Sarah Dunant,Calmann-Lévy,1996,0.0,0.0,1.0,1.0,français,LBRI Litterature britannique,0.0
208462,Que saignent les vignes du roi , ,Frédéric Couderc,Flammarion,2009,3.0,3.0,1.0,1.0,français,LFRA Litterature francaise,12.0
216297,Le camp du bandit mauresque , ,Hubert Haddad,Fayard,2005,2.0,1.0,2.0,2.0,français,LFRA Litterature francaise,4.0
407575,Discours de réception à l'Académie française , ,Paul Valéry,Gallimard,1927,0.0,0.0,1.0,1.0,français,Littérature française (autres),0.0
142892,L'hydre de Lerne , ,Cécile Wajsbrot,Denoël,2011,5.0,0.8333333333333334,6.0,6.0,français,LFRA Litterature francaise,3.0
36317,Adrien qui ne fait rien , ,Tony Ross,"Gallimard, DL",2007,35.0,4.375,8.0,6.0,français,LFRA Litterature francaise,18.0
52852,Où vont les trucs du pissenlit quand le vent les emporte ? , ,Yvan Pommaux,Ed. du Sorbier,1993,23.0,4.6,5.0,4.0,français,LFRA Litterature francaise,19.0
62726,La princesse Chaska et le trésor de la Cité d'Or ,Le château magique,Katie Chase,Bayard jeunesse,2010,18.0,3.6,5.0,4.0,français,LBRI Litterature britannique,15.0
441417,Roman de gare contemporain , ,Tadeusz Konwicki,R. Laffont,1994,0.0,0.0,2.0,2.0,français,LECE Litterature d'Europe centrale,0.0
319250,Le théâtre dans la cité , ,Thérèse Malachy,Nizet,2008,0.0,0.0,1.0,1.0,français,"D801 Etudes litteraires, revues litteraires",0.0
393025,Les enfants du ghetto , ,Ilyās H̱ūrī,l'Orient des livres;Actes Sud-Sindbad,2018,0.0,0.0,4.0,4.0,français,LMMO Litterature du Maghreb et du Moyen-Orient,0.0
180125,Les antimodernes , ,Antoine Compagnon,Gallimard,2016,4.0,4.0,1.0,1.0,français,"D801 Etudes litteraires, revues litteraires",17.0
378407,Illustrations 4 , ,Michel Butor,Gallimard,1976,0.0,0.0,3.0,3.0,français,LFRA Litterature francaise,0.0
202852,Je reviendrai avec la pluie , ,Takuji Ichikawa,J'ai lu,2013,3.0,1.5,2.0,2.0,français,LJAP Litterature japonaise et coreenne,6.0
326183,Le dit de Sargas , ,Régis Antoine Jaulin,Mnémos,2013,0.0,0.0,1.0,1.0,français,LFRA Litterature francaise,0.0
110868,La nuit du chasseur , ,Davis Grubb,Gallimard,2004,8.0,1.0,8.0,8.0,français,LNAM Litterature nord-americaine,4.0
308288,L'usine à rêves , ,François Rivière,R. Laffont,2008,1.0,0.5,2.0,2.0,français,LFRA Litterature francaise,2.0
91253,Le bâton d'Euclide , ,Jean-Pierre Luminet,J.-C. Lattès,2002,11.0,1.5714285714285714,7.0,7.0,français,LFRA Litterature francaise,7.0
39229,True grit , ,Charles Portis,le Serpent à plumes,2011,32.0,2.1333333333333333,15.0,15.0,français,LNAM Litterature nord-americaine,9.0
389916,Un été dans les Flandres , ,Michael Jenkins,Quai Voltaire,1997,0.0,0.0,1.0,1.0,français,LBRI Litterature britannique,0.0
9870,Le joyau des Valoris ,"Haut-Royaume, les sept cités",Pierre Pevel,Bragelonne,2016,109.0,5.7368421052631575,19.0,19.0,français,LFRA Litterature francaise,24.0
